식품명,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품명,식품중분류명,식품소분류명,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처명,식품중량
토스트(식빵),음식,4,외식(재료량 기반 산출함량),02,빵 및 과자류,토스트(식빵),해당없음,해당없음,해당없음,100ml,84,10.1,2.5,1.33,,15.55,2.61,1,8,0.17,22,30,140,0,0,5,0.048,0.093,0.438,0.57,0,0,0.78,,식품의약품안전처,230.3
트위스터 샌드위치,음식,4,외식(재료량 기반 산출함량),02,빵 및 과자류,트위스터 샌드위치,해당없음,해당없음,해당없음,100ml,56,18.7,3.6,2.96,,3.3,0.68,0.4,7,0.22,21,46,124,15,12,40,0.028,0.039,0.347,0.67,0.02,15.94,0.83,,식품의약품안전처,380.6
파운드케이크,음식,4,외식(재료량 기반 산출함량),02,빵 및 과자류,파운드케이크,해당없음,해당없음,해당없음,100ml,226,12.2,3.5,11.79,,26.67,9.33,0.6,35,0.46,88,81,119,78,76,27,0.031,0.101,0.122,0,0,47.29,5.75,,식품의약품안전처,170ml
햄샌드위치,음식,4,외식(재료량 기반 산출함량),02,빵 및 과자류,햄샌드위치,해당없음,해당없음,해당없음,100ml,185,34.3,5.3,10,,18.69,3.63,1.8,19,0.6,65,100,321,40,16,294,0.082,0.043,1.227,3.78,0,14.58,3.42,,식품의약품안전처,207ml
간자장,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,간자장,해당없음,해당없음,해당없음,100ml,155,50.9,5.39,2.81,,25.98,2.83,1.8,21,0.41,56,231,345,3,2,12,0.046,0.078,0.512,3.72,0.05,8.44,0.61,,식품의약품안전처,800ml
간자장_해물,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,간자장,해물,해당없음,해당없음,100ml,151,54.7,6.9,3.18,,22.69,2.45,1.6,27,0.81,75,220,380,4,2,24,0.043,0.079,0.71,3.51,0.36,28.99,0.66,,식품의약품안전처,885ml
국수,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,국수,해당없음,해당없음,해당없음,100ml,56,7.3,2.5,0.96,,8.87,0.29,0.3,24,0.29,31,32,274,5,3,25,0.019,0.021,0.063,0.16,0.03,10.42,0.2,,식품의약품안전처,894ml
국수_열무김치,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,국수,열무김치,해당없음,해당없음,100ml,59,10.7,2.2,0.99,,9.79,0.29,0.5,14,0.28,24,50,198,11,4,85,0.021,0.039,0.11,0.29,0.03,10.3,0.25,,식품의약품안전처,800ml
냉면_물냉면,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,냉면,물냉면,해당없음,해당없음,100ml,96,86.8,3.64,0.68,,18.29,0.42,0.8,10,0.64,47,97,197,3,2,4,0.019,0.046,0.578,0.67,0.08,13.07,0.21,,식품의약품안전처,780ml
떡국_굴,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,떡국,굴,해당없음,해당없음,100ml,90,82.3,4,1.33,,16.69,0.23,1.6,80,2.79,55,98,297,10,8,23,0.055,0.083,0.294,0.18,0.07,20.12,0.32,,식품의약품안전처,600ml
